id,lat,lng,name,name_en,type,routes
6425156570,39.8236397,46.7668701,Səməd bəy Mehmandarov küçəsi,,stop_position,
6425156571,39.8233501,46.7669358,,,stop_position,
6425156574,39.8232619,46.7693036,,,bus_stop,
6425156575,39.8234366,46.7692329,,,bus_stop,
6425156576,39.8233466,46.7692543,,,stop_position,
6425156577,39.8251519,46.770447,,,bus_stop,
6425156578,39.8251455,46.7703709,,,stop_position,
6425156579,39.8266166,46.7701361,,,bus_stop,
6425156580,39.8268141,46.769972,,,bus_stop,
6425160161,39.8285494,46.7694956,Xankəndi Kafedral Kilsəsi,,bus_stop,
6425192280,39.8284802,46.7694531,,,stop_position,
6425192281,39.8285474,46.7693167,,,stop_position,
6425192283,39.8284979,46.7693009,Xankəndi Kafedral Kilsəsi,,bus_stop,
6425192284,39.8287624,46.7670051,,,bus_stop,
6425193085,39.8287333,46.7670749,,,stop_position,
6425315499,39.8268132,46.7648647,,,bus_stop,
6425315500,39.8268876,46.7649256,,,stop_position,
6425315501,39.8271223,46.7646227,,,bus_stop,
6425315502,39.827064,46.764562,,,stop_position,
6425530350,39.8268178,46.7700306,,,stop_position,
6425530351,39.826597,46.7700751,,,stop_position,
6425807085,39.8075364,46.7684934,,,bus_stop,
6425807086,39.812187,46.7640771,,,bus_stop,
6440484139,40.8419995,47.7249694,Dayanacaq Hacallı,,bus_stop,
6442584706,40.9337769,47.8082138,Məktəb yolu Zarağan,,bus_stop,
6442584709,40.9322956,47.8047259,klub yolu,,bus_stop,
6449314186,40.32766,49.7788256,,176-174-saylı avtobuslarin duracagi,bus_stop,
6474541485,40.3020357,49.7616833,,,bus_stop,
6482793723,40.4867662,50.1699299,Daxili İşlər Nazirliyinin Polis Akademiyası,,bus_stop,
6487549379,39.807411,46.7527782,,,bus_stop,
6487754590,40.4874858,50.1644388,Abşeron sanatoriyası,,bus_stop,
6499780766,39.806244,46.7509579,,,bus_stop,
6499780767,39.8073586,46.7529127,,,bus_stop,
6499780768,39.8073801,46.7528385,,,stop_position,
6499780769,39.8087842,46.7542703,,,bus_stop,
6499791811,39.8056212,46.7478561,,,stop_position,
6499791812,39.8056132,46.7479527,,,bus_stop,
6499791813,39.8056563,46.7478397,,,bus_stop,
6499791814,39.8047509,46.744958,,,stop_position,
6499791815,39.8047777,46.7449191,,,bus_stop,
6499791816,39.8063293,46.7508106,,,bus_stop,
6499791817,39.8062901,46.7508817,,,stop_position,
6503834630,39.8142252,46.7459642,,,bus_stop,
6503834631,39.8141958,46.7460142,,,stop_position,
6503834632,39.8117765,46.7435282,Xankəndi Hərbi Bazası,,bus_stop,
6503834633,39.811896,46.7434882,Xankəndi Hərbi Bazası,,bus_stop,
6503834634,39.8118519,46.7435322,Xankəndi Hərbi Bazası,,stop_position,
6503834635,39.8125061,46.7413821,,,bus_stop,
6503834636,39.8125299,46.7413112,,,stop_position,
6503834637,39.8124373,46.7412899,,,bus_stop,
6503834638,39.8109328,46.737919,,,bus_stop,
6503834639,39.8107598,46.737821,,,bus_stop,
6503834640,39.8108588,46.7378953,,,stop_position,
6506082047,39.8141662,46.7459871,,,bus_stop,
6518304819,40.5133239,49.9451982,Məmmədli Stansiyası,,station,
6518322492,40.4712613,49.9546474,Zabrat 1 Stansiyası,,station,
6518326476,40.5563009,49.7779749,Novxanı Stansiyası,,station,
6527869839,40.4319642,49.9536942,Bakıxanov Stansiyası,,station,
6536634187,40.5626387,49.8721471,179 Avtobus Son Dayanacaq \ Pirşaşı,,bus_stop,
6546890191,41.1103307,45.0529417,,,bus_stop,
6546890490,41.0708685,45.0708357,Ոսկեպար,,bus_stop,
6546908186,41.0634864,45.0634951,,,bus_stop,
6546926985,41.0472248,45.0975411,,,bus_stop,
